#Time (s);Angle (degrees)
4.68942;141.24402
4.69488;140.41854
4.70048;139.59738
4.70625;138.78108
4.7122;137.97036
4.71835;137.16585
4.72471;136.36845
4.73131;135.57924
4.73817;134.79948
4.74532;134.03088
4.7528;133.27542
4.76065;132.53571
4.76893;131.81535
4.77769;131.11875
4.78701;130.4523
4.79698;129.82437
4.80772;129.24711
4.81932;128.73762
4.83191;128.31984
4.84552;128.02617
4.86001;127.89369
4.87496;127.95192
4.88969;128.20293
4.90361;128.61675
4.91645;129.15045
4.92821;129.76722
4.939;130.44105
4.94897;131.15511
4.95824;131.89842
4.96692;132.66378
4.97511;133.44597
4.98286;134.24148
4.99023;135.04779
4.99728;135.86301
5.00403;136.68561
5.01052;137.51442
5.01678;138.34863
5.02282;139.18743
5.02867;140.03028
5.03435;140.87673
5.03986;141.72624
5.04522;142.57854
5.05045;143.43336
5.05554;144.29052
5.06052;145.14975
5.06539;146.01078
5.07015;146.87352
5.07481;147.73788
5.07937;148.60359
5.08385;149.47065
5.08825;150.33897
5.09257;151.20846
5.09682;152.07894
5.10099;152.9505
5.10509;153.82296
5.10914;154.69632
5.11311;155.57049
5.11704;156.44538
5.1209;157.32108
5.12471;158.19741
5.12847;159.07428
5.13218;159.95196
5.13584;160.83009
5.13945;161.70885
5.14302;162.58815
5.14655;163.4679
5.15003;164.34819
5.15348;165.22893
5.15688;166.11012
5.16025;166.99167
5.16358;167.87358
5.16688;168.75594
5.17015;169.63866
5.17338;170.52165
5.17657;171.404973
5.17974;172.288692
5.18288;173.172645
5.18599;174.057003
5.18906;174.94164
5.19211;175.826484
5.19514;176.711571
5.19814;177.596982
5.20111;178.482636
5.20405;179.3684772
5.20698;180
5.20987;179.2482723
5.21327;178.377255
5.2167;177.506946
5.22017;176.63733
5.22368;175.768425
5.22724;174.900249
5.23084;174.032874
5.23448;173.166363
5.23817;172.300707
5.2419;171.436041
5.24569;170.57232
5.24953;169.70958
5.25343;168.84792
5.25738;167.98752
5.26139;167.12829
5.26546;166.27041
5.2696;165.41388
5.2738;164.55879
5.27808;163.70532
5.28243;162.85356
5.28686;162.00351
